                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 2.5463,                  3.264,                0.91852,                0.38816,                0.26005,                0.24266,                0.08695,                 2.6286,                 2.6947,                0.96227,              0.0017228,              0.0017228,              0.0017228
                     51,                 2.5961,                 2.9537,                0.96245,                0.39338,                0.32787,                0.27285,                0.09536,                 2.6139,                 2.7177,                0.95703,              0.0017171,              0.0017171,              0.0017171
                     52,                 2.4415,                 2.6269,                  0.949,                0.49181,                0.34426,                0.33256,                0.10997,                 2.5564,                 2.5907,                0.94337,              0.0017115,              0.0017115,              0.0017115
                     53,                 2.5538,                 2.7378,                0.95639,                0.49271,                0.38221,                0.33862,                0.10299,                 2.5545,                    2.6,                0.93229,              0.0017058,              0.0017058,              0.0017058
                     54,                 2.5356,                 2.7463,                0.96159,                0.24617,                0.27838,                0.23013,                0.07594,                 2.5778,                 2.8904,                0.92985,              0.0017002,              0.0017002,              0.0017002
                     55,                  2.434,                 2.5373,                0.94291,                0.46477,                0.39344,                0.30709,                0.12137,                 2.4714,                 2.6984,                0.91821,              0.0016945,              0.0016945,              0.0016945
                     56,                 2.4728,                 2.6574,                0.96564,                0.40846,                 0.2623,                0.26159,                0.08604,                 2.5698,                 2.6171,                0.94027,              0.0016889,              0.0016889,              0.0016889
                     57,                 2.3968,                 2.7295,                0.92501,                0.40734,                0.32787,                0.30579,                0.09593,                 2.5294,                 2.5754,                 0.9274,              0.0016832,              0.0016832,              0.0016832
                     58,                 2.4157,                 2.7931,                0.91179,                0.55365,                0.32787,                0.34051,                0.12112,                 2.4167,                 2.4483,                0.92269,              0.0016775,              0.0016775,              0.0016775
                     59,                 2.4486,                 2.5959,                0.95596,                 0.5628,                0.32787,                 0.3237,                0.10625,                 2.5024,                 2.6277,                0.92642,              0.0016719,              0.0016719,              0.0016719
                     60,                 2.2793,                 2.3462,                0.91049,                0.34371,                0.22951,                0.23038,                0.06799,                 2.8613,                  3.403,                0.93793,              0.0016662,              0.0016662,              0.0016662
                     61,                 2.4507,                 2.5836,                0.91782,                0.31728,                 0.2623,                0.24084,                0.07296,                 2.4165,                 3.5965,                0.90375,              0.0016606,              0.0016606,              0.0016606
                     62,                 2.2757,                 2.5175,                0.92417,                0.48479,                 0.2459,                0.24656,                0.07875,                 2.6418,                 2.9466,                0.93761,              0.0016549,              0.0016549,              0.0016549
                     63,                 2.4376,                 2.4939,                0.97353,                0.50958,                 0.2623,                0.24281,                0.07493,                 2.7244,                 2.6638,                0.92905,              0.0016493,              0.0016493,              0.0016493
                     64,                  2.495,                 2.4574,                0.94374,                0.40417,                0.22951,                0.21583,                0.06067,                 2.7727,                 2.7135,                0.93866,              0.0016436,              0.0016436,              0.0016436
                     65,                 2.4052,                 2.5957,                0.91957,                 0.3266,                0.16705,                0.17048,                0.04048,                 2.8749,                 3.4139,                0.96792,              0.0016379,              0.0016379,              0.0016379
                     66,                 2.4842,                 2.7054,                 0.9494,                 0.2558,                0.11475,                0.12789,                0.03379,                 2.8868,                  3.478,                0.95997,              0.0016323,              0.0016323,              0.0016323
                     67,                 2.1743,                 2.9153,                0.85486,                 0.4349,                0.11475,                0.17113,                 0.0453,                 2.7295,                 3.5736,                0.94493,              0.0016266,              0.0016266,              0.0016266
                     68,                  2.274,                 2.5586,                0.95235,                0.72052,                0.27869,                0.31717,                0.09155,                 2.7439,                 3.0906,                0.95316,               0.001621,               0.001621,               0.001621
                     69,                 2.3455,                  2.489,                0.89965,                0.57459,                0.31148,                0.28894,                0.09367,                  2.704,                 2.9264,                0.94603,              0.0016153,              0.0016153,              0.0016153
                     70,                 2.2266,                 2.4414,                0.90905,                0.28958,                0.18033,                0.12066,                0.03655,                 2.7798,                 3.1773,                0.93814,              0.0016097,              0.0016097,              0.0016097
                     71,                  2.309,                 2.3815,                0.94134,                0.47524,                0.22283,                0.19864,                0.05383,                 2.8599,                 3.2155,                0.95129,               0.001604,               0.001604,               0.001604
                     72,                 2.4588,                 2.7935,                0.94155,                0.17591,                0.14754,                0.09753,                0.02636,                 3.0852,                 3.1806,                0.96221,              0.0015983,              0.0015983,              0.0015983
                     73,                 2.3319,                 2.3516,                0.93535,                0.25808,                0.34426,                0.26314,                0.08746,                  2.569,                 2.6453,                 0.9153,              0.0015927,              0.0015927,              0.0015927
                     74,                 2.4429,                 2.1602,                0.94277,                0.42227,                0.34426,                0.31759,                0.10548,                 2.5969,                 2.8005,                0.91901,               0.001587,               0.001587,               0.001587
                     75,                 2.3571,                 2.8059,                0.91561,                0.56035,                0.34426,                0.37763,                0.11488,                 2.7251,                 2.4095,                0.94381,              0.0015814,              0.0015814,              0.0015814
                     76,                 2.2816,                 2.2637,                0.90926,                0.45485,                0.31148,                0.31486,                0.10943,                 2.6386,                 2.8065,                0.93562,              0.0015757,              0.0015757,              0.0015757
                     77,                 2.2511,                 2.2839,                0.90788,                0.22148,                0.15865,                0.07773,                0.01778,                 2.9935,                 3.3832,                0.96033,              0.0015701,              0.0015701,              0.0015701
                     78,                 2.5668,                 2.7096,                0.92034,                0.24225,                0.21311,                0.09982,                0.02806,                 2.9987,                 3.3606,                0.96662,              0.0015644,              0.0015644,              0.0015644
                     79,                 2.3005,                 2.4431,                0.90803,                0.39317,                0.34426,                0.28143,                0.08463,                 2.5766,                 2.8344,                0.93843,              0.0015587,              0.0015587,              0.0015587
                     80,                 2.4576,                 2.6391,                0.93332,                 0.4704,                0.32787,                0.31803,                0.09735,                 2.5538,                 2.5242,                0.93392,              0.0015531,              0.0015531,              0.0015531
                     81,                 2.3887,                 2.2229,                0.90316,                0.35098,                 0.2459,                0.21971,                0.07061,                  2.593,                 2.7084,                0.93454,              0.0015474,              0.0015474,              0.0015474
                     82,                 2.4385,                 2.4006,                0.94974,                0.37532,                0.29508,                0.26145,                 0.0806,                 2.5741,                 2.8368,                0.92652,              0.0015418,              0.0015418,              0.0015418
